選手名,動向,発表日,区分,移籍先元,ステータス,出典URL,その他備考
高橋 智子,契約満了,2026-05-22,契約満了,,退団予定,https://albirex-niigata-ladies.com/news/2026-05-22-11-2/,2026年7月1日以降契約締結せず
久野 吹雪,契約更新,2026-06-02,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
横山 笑愛,契約更新,2026-06-11,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
杉田 亜未,契約更新,2026-06-13,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
坂田 湖琳,契約更新,2026-06-15,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/2026-06-15-1400-2/,
佐怒賀 理子,契約更新,2026-06-16,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
那須野 陽向,契約更新,2026-06-16,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
藤原 凛音,契約更新,2026-06-17,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
園田 瑞貴,契約更新,2026-06-17,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/,
ブラフ シャーン,契約更新,2026-06-18,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/2026-06-18-1200/,
城和 怜奈,契約更新,2026-06-19,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/2026-06-19-1200/,
山谷 瑠香,契約更新,2026-06-20,契約更新,,在籍予定,https://albirex-niigata-ladies.com/news/2026-06-20-1200/,
