選手名,動向,発表日,区分,移籍先元,ステータス,出典URL,その他備考
ジェイソン ゲリア,契約更新,2026-06-29,契約更新,,在籍予定,https://www.albirex.co.jp/news/69671/,
加藤 徹也,契約更新,2026-06-22,契約更新,,在籍予定,https://www.albirex.co.jp/news/69620/,
舞行龍 ジェームズ,契約更新,2026-06-24,契約更新,,在籍予定,https://www.albirex.co.jp/news/69638/,
大西 悠介,契約更新,2026-06-18,契約更新,,在籍予定,https://www.albirex.co.jp/news/69605/,
白井 永地,契約更新,2026-06-29,契約更新,,在籍予定,https://www.albirex.co.jp/news/69671/,
ダニーロ ゴメス,契約更新,2026-06-27,契約更新,,在籍予定,https://www.albirex.co.jp/news/69655/,
落合 陸,契約更新,2026-06-22,契約更新,,在籍予定,https://www.albirex.co.jp/news/69620/,
古長谷 千博,契約更新,2026-06-18,契約更新,,在籍予定,https://www.albirex.co.jp/news/69605/,
早川 史哉,契約更新,2026-06-22,契約更新,,在籍予定,https://www.albirex.co.jp/news/69620/,
シマブク カズヨシ,契約更新,2026-06-24,契約更新,,在籍予定,https://www.albirex.co.jp/news/69638/,
若月 大和,契約更新,2026-06-27,契約更新,,在籍予定,https://www.albirex.co.jp/news/69655/,
星 雄次,契約更新,2026-06-28,契約更新,,在籍予定,https://www.albirex.co.jp/news/69665/,
田代 琉我,期限付移籍out,2026-06-28,期限付移籍out,栃木SC,期限付き移籍中,https://www.albirex.co.jp/news/69634/,栃木SCへ期限付き移籍中｜期限付き移籍期間：2026年7月1日～2027年6月30日
新井 泰貴,契約更新,2026-06-28,契約更新,,在籍予定,https://www.albirex.co.jp/news/69665/,
吉満 大介,契約更新,2026-06-17,契約更新,,在籍予定,https://www.albirex.co.jp/news/69606/,
森 璃太,契約更新,2026-06-29,契約更新,,在籍予定,https://www.albirex.co.jp/news/69671/,
藤原 奏哉,契約更新,2026-06-27,契約更新,,在籍予定,https://www.albirex.co.jp/news/69655/,
佐藤 海宏,期限付移籍in延長,2026-06-18,期限付移籍in延長,鹿島アントラーズ,在籍予定,https://www.albirex.co.jp/news/69612/,鹿島アントラーズからの期限付き移籍期間を2027年6月30日まで延長
島村 拓弥,期限付移籍in終了,2026-06-28,期限付移籍in終了,柏レイソル,退団予定,https://www.albirex.co.jp/news/69664/,柏レイソルからの期限付き移籍加入期間終了｜柏レイソルより横浜FCへの期限付き移籍が決定
奥村 仁,契約更新,2026-06-27,契約更新,,在籍予定,https://www.albirex.co.jp/news/69655/,
松岡 敏也,契約更新,2026-06-18,契約更新,,在籍予定,https://www.albirex.co.jp/news/69605/,
藤原 優大,契約更新,2026-06-17,契約更新,,在籍予定,https://www.albirex.co.jp/news/69606/,
森 昂大,契約更新,2026-06-27,契約更新,,在籍予定,https://www.albirex.co.jp/news/69655/,
石山 青空,契約更新,2026-06-22,契約更新,,在籍予定,https://www.albirex.co.jp/news/69620/,
松浦 大翔,移籍in,2026-06-29,移籍in,アルビレックス新潟U-18,在籍予定,https://www.albirex.co.jp/news/69651/,アルビレックス新潟U-18より来季新加入内定｜トップチーム登録（2種）として7月始動のトップチーム活動へ合流予定
笠井 佳祐,契約更新,2026-06-22,契約更新,,在籍予定,https://www.albirex.co.jp/news/69620/,
大竹 優心,未発表,,未発表,,未発表,https://www.albirex.co.jp/team/player/2026-27/,
マテウス モラエス,契約更新,2026-06-27,契約更新,,在籍予定,https://www.albirex.co.jp/news/69655/,
バウマン,契約更新,2026-06-24,契約更新,,在籍予定,https://www.albirex.co.jp/news/69638/,
内山 翔太,契約更新,2026-06-17,契約更新,,在籍予定,https://www.albirex.co.jp/news/69606/,
舩木 翔,契約更新,2026-06-28,契約更新,,在籍予定,https://www.albirex.co.jp/news/69665/,
小野 裕二,契約更新,2026-06-28,契約更新,,在籍予定,https://www.albirex.co.jp/news/69665/,
吉田 陣平,期限付移籍out延長,2026-06-24,期限付移籍out延長,福島ユナイテッドFC,期限付き移籍中,https://www.albirex.co.jp/news/69631/,福島ユナイテッドFCへの期限付き移籍期間を2027年6月30日まで延長｜期限付き移籍期間：2026年7月1日～2027年6月30日
アブデルラフマン ブーダ サイディ,期限付移籍out,2026-03-08,期限付移籍out,ヴェステロースSK FK（スウェーデン）,期限付き移籍中,https://www.albirex.co.jp/news/69100/,ヴェステロースSK FK（スウェーデン）へ期限付き移籍中｜期限付き移籍期間：2026年3月5日～2026年12月31日
秋山 裕紀,移籍out,2026-05-28,移籍out,SVダルムシュタット98（ドイツ）,退団予定,https://www.albirex.co.jp/news/69533/,SVダルムシュタット98（ドイツ）へ完全移籍
桑山 侃士,期限付移籍in,2026-06-25,期限付移籍in,FC町田ゼルビア,在籍予定,https://www.albirex.co.jp/news/69593/,FC町田ゼルビアより期限付き移籍加入｜期限付き移籍期間：2026年7月1日～2027年6月30日
前田 椋介,移籍in,2026-06-29,移籍in,愛媛FC,在籍予定,https://www.albirex.co.jp/news/69667/,愛媛FCより完全移籍加入
大竹 優心,離脱,2026-06-29,離脱,,離脱,https://www.albirex.co.jp/news/69659/,海外クラブへの移籍交渉のためチーム離脱
