背番号,ポジション,選手名,その他備考
2,DF,ジェイソン ゲリア,
3,DF,加藤 徹也,
5,DF,舞行龍 ジェームズ,
6,MF,笠井 佳祐,
7,MF,大西 悠介,
8,MF,白井 永地,
11,MF,ダニーロ ゴメス,
13,MF,落合 陸,
14,MF,古長谷 千博,
15,DF,早川 史哉,
17,MF,シマブク カズヨシ,
18,FW,若月 大和,
19,MF,星 雄次,
21,GK,田代 琉我,
22,MF,新井 泰貴,
23,GK,吉満 大介,
24,DF,森 璃太,
25,MF,藤原 奏哉,
26,DF,佐藤 海宏,
28,MF,島村 拓弥,
30,MF,奥村 仁,
32,FW,桑山 侃士,FC町田ゼルビアより期限付き移籍加入
33,DF,松岡 敏也,
34,DF,藤原 優大,
38,DF,森 昂大,
40,MF,石山 青空,
41,GK,松浦 大翔,
46,GK,バウマン,
48,MF,大竹 優心,
55,FW,マテウス モラエス,
71,GK,内山 翔太,
77,DF,舩木 翔,
99,FW,小野 裕二,
,MF,秋山 裕紀,
,MF,吉田 陣平,
,FW,アブデルラフマン ブーダ サイディ,
